Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20
Ningxia,37.26923,106.1655,1,0.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0,5.0,2.0,3.0,3.0,0.0,6.0,3.0,2.0,0.0,4.0,4.0,5.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qinghai,35.65945,96.02564,0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaanxi,35.19165,108.8701,0,3.0,2.0,10.0,7.0,13.0,11.0,10.0,7.0,24.0,14.0,15.0,12.0,14.0,23.0,8.0,11.0,11.0,13.0,5.0,6.0,6.0,4.0,1.0,2.0,4.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Shandong,36.34377,118.1529,2,4.0,9.0,12.0,19.0,29.0,20.0,35.0,28.0,26.0,22.0,24.0,29.0,16.0,32.0,40.0,39.0,30.0,28.0,22.0,21.0,10.0,12.0,14.0,9.0,5.0,4.0,2.0,1.0,2.0,203.0,1.0,4.0,1.0,1.0,0.0
Shanghai,31.20327,121.4554,9,7.0,4.0,13.0,7.0,13.0,13.0,30.0,16.0,23.0,34.0,13.0,21.0,16.0,24.0,14.0,20.0,9.0,7.0,6.0,4.0,8.0,4.0,3.0,8.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Shanxi,37.577690000000004,112.2922,1,0.0,0.0,5.0,3.0,4.0,14.0,0.0,8.0,4.0,8.0,19.0,8.0,7.0,0.0,15.0,8.0,11.0,4.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Sichuan,30.617140000000003,102.7103,5,3.0,7.0,13.0,16.0,25.0,21.0,18.0,34.0,35.0,30.0,24.0,23.0,28.0,19.0,20.0,23.0,20.0,22.0,19.0,12.0,19.0,15.0,12.0,7.0,11.0,14.0,13.0,6.0,6.0,5.0,1.0,0.0,1.0,2.0,2.0
Tianjin,39.293620000000004,117.333,4,0.0,4.0,2.0,4.0,9.0,1.0,3.0,4.0,1.0,9.0,7.0,12.0,7.0,2.0,10.0,2.0,7.0,3.0,4.0,11.0,6.0,7.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
Tibet,30.1534,88.7879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xinjiang,41.11981,85.17822,0,2.0,0.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,6.0,4.0,4.0,2.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunnan,24.97411,101.4868,1,1.0,3.0,6.0,5.0,10.0,18.0,11.0,15.0,13.0,10.0,12.0,12.0,5.0,6.0,5.0,5.0,0.0,3.0,8.0,4.0,1.0,2.0,6.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhejiang,29.182509999999997,120.0985,10,17.0,16.0,19.0,42.0,24.0,45.0,123.0,132.0,110.0,61.0,62.0,63.0,105.0,66.0,59.0,52.0,42.0,27.0,17.0,25.0,14.0,14.0,10.0,7.0,5.0,4.0,1.0,2.0,1.0,28.0,2.0,0.0,0.0,0.0,0.0
Seattle,47.7511,-120.74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago,40.6331,-89.3985,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,34.0489,-111.094,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto,43.6532,-79.3832,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
British Columbia,49.2827,-123.12100000000001,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Orange,33.7879,-117.8531,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles,34.0522,-118.2437,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New South Wales,-33.8688,151.2093,0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria,-37.8136,144.9631,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queensland,-27.4698,153.0251,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
London,42.9849,-81.2453,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Clara,37.3541,-121.9552,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Australia,-34.9285,138.6007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
